specification,Task,num_hidden_test_passed_phase1,num_hidden_test_failed_phase1,predicted_categ,Actual_percent,actual_categ,overconfidence,overconfidence_pos,overconfidence_pct,anon_id
G1,A,10,23,1,30.303030303030305,2,-1,0,0.0,S0001
G1,A,12,21,4,36.36363636363637,2,2,2,50.0,S0002
G1,A,10,23,4,30.303030303030305,2,2,2,50.0,S0003
G1,A,5,28,3,15.151515151515152,1,2,2,50.0,S0004
G1,A,13,20,1,39.39393939393939,2,-1,0,0.0,S0005
G1,A,12,21,3,36.36363636363637,2,1,1,25.0,S0006
G1,A,10,23,3,30.303030303030305,2,1,1,25.0,S0007
G1,A,13,20,4,39.39393939393939,2,2,2,50.0,S0008
G1,A,10,23,4,30.303030303030305,2,2,2,50.0,S0009
G1,A,10,23,5,30.303030303030305,2,3,3,75.0,S0010
G1,A,11,22,3,33.33333333333333,2,1,1,25.0,S0011
G1,A,12,21,3,36.36363636363637,2,1,1,25.0,S0012
G1,B,14,19,3,42.42424242424242,3,0,0,0.0,S0013
G1,B,13,20,1,39.39393939393939,2,-1,0,0.0,S0014
G1,B,12,21,3,36.36363636363637,2,1,1,25.0,S0015
G1,B,14,19,4,42.42424242424242,3,1,1,25.0,S0016
G1,B,9,24,4,27.27272727272727,2,2,2,50.0,S0017
G1,B,12,21,4,36.36363636363637,2,2,2,50.0,S0018
G1,B,16,17,4,48.48484848484848,3,1,1,25.0,S0019
G1,B,12,21,4,36.36363636363637,2,2,2,50.0,S0020
G1,B,9,24,4,27.27272727272727,2,2,2,50.0,S0021
G1,B,9,24,4,27.27272727272727,2,2,2,50.0,S0022
G1,B,16,17,4,48.48484848484848,3,1,1,25.0,S0023
G1,B,11,22,4,33.33333333333333,2,2,2,50.0,S0024
G2,B,16,17,4,48.48484848484848,3,1,1,25.0,S0026
G2,B,16,17,3,48.48484848484848,3,0,0,0.0,S0027
G2,B,16,17,1,48.48484848484848,3,-2,0,0.0,S0028
G2,B,12,21,2,36.36363636363637,2,0,0,0.0,S0029
G2,B,14,19,3,42.42424242424242,3,0,0,0.0,S0030
G2,B,13,20,3,39.39393939393939,2,1,1,25.0,S0031
G2,B,16,17,3,48.48484848484848,3,0,0,0.0,S0032
G2,B,14,19,4,42.42424242424242,3,1,1,25.0,S0033
G2,B,16,17,4,48.48484848484848,3,1,1,25.0,S0034
G2,B,14,19,3,42.42424242424242,3,0,0,0.0,S0035
G2,B,14,19,3,42.42424242424242,3,0,0,0.0,S0036
G2,A,14,19,1,42.42424242424242,3,-2,0,0.0,S0037
G2,A,10,23,4,30.303030303030305,2,2,2,50.0,S0038
G2,A,11,22,2,33.33333333333333,2,0,0,0.0,S0039
G2,A,9,24,3,27.27272727272727,2,1,1,25.0,S0041
G2,A,12,21,3,36.36363636363637,2,1,1,25.0,S0042
G2,A,10,23,3,30.303030303030305,2,1,1,25.0,S0043
G2,A,12,21,3,36.36363636363637,2,1,1,25.0,S0044
G2,A,15,18,4,45.45454545454545,3,1,1,25.0,S0045
G2,A,11,22,1,33.33333333333333,2,-1,0,0.0,S0046
G2,A,10,23,1,30.303030303030305,2,-1,0,0.0,S0047
G2,A,14,19,3,42.42424242424242,3,0,0,0.0,S0048
G3,A,13,20,3,39.39393939393939,2,1,1,25.0,S0049
G3,B,0,33,4,0.0,1,3,3,75.0,S0050
G3,B,14,19,2,42.42424242424242,3,-1,0,0.0,S0051
G3,B,9,24,3,27.27272727272727,2,1,1,25.0,S0052
G3,A,15,18,3,45.45454545454545,3,0,0,0.0,S0053
G3,A,18,15,3,54.54545454545454,3,0,0,0.0,S0054
G3,A,19,14,3,57.57575757575758,3,0,0,0.0,S0055
G3,A,32,1,1,96.96969696969695,5,-4,0,0.0,S0056
G3,A,22,11,1,66.66666666666666,4,-3,0,0.0,S0057
G3,A,22,11,3,66.66666666666666,4,-1,0,0.0,S0058
G3,A,19,14,3,57.57575757575758,3,0,0,0.0,S0059
G3,A,22,11,2,66.66666666666666,4,-2,0,0.0,S0060
G3,A,19,14,3,57.57575757575758,3,0,0,0.0,S0061
G3,A,19,14,3,57.57575757575758,3,0,0,0.0,S0062
G3,A,33,0,2,100.0,5,-3,0,0.0,S0063
G3,B,30,3,4,90.9090909090909,5,-1,0,0.0,S0064
G3,B,30,3,1,90.9090909090909,5,-4,0,0.0,S0065
G3,B,24,9,3,72.72727272727273,4,-1,0,0.0,S0066
G3,B,30,3,4,90.9090909090909,5,-1,0,0.0,S0067
G3,B,24,9,3,72.72727272727273,4,-1,0,0.0,S0068
G3,B,30,3,3,90.9090909090909,5,-2,0,0.0,S0069
G3,B,30,3,2,90.9090909090909,5,-3,0,0.0,S0070
G3,B,30,3,2,90.9090909090909,5,-3,0,0.0,S0071
G3,B,15,18,3,45.45454545454545,3,0,0,0.0,S0072
